plugin,method,firmware_notes
geofence,upload_geofence,"ArduCopter 4.5.7 SITL: works - polygon and circle (inclusion) uploads accepted via fence mission protocol; enforcement additionally requires FENCE_ENABLE=1. PX4: untested (SITL pending)."
geofence,clear_geofence,"ArduCopter 4.5.7 SITL: works. PX4: untested (SITL pending)."
offboard,start,"ArduCopter 4.5.7 SITL: works - MavSDK maps offboard to GUIDED mode. PX4: untested (SITL pending)."
offboard,stop,"ArduCopter 4.5.7 SITL: works - vehicle switches to Loiter (reported as HOLD). PX4: untested (SITL pending)."
offboard,is_active,"ArduCopter 4.5.7 SITL: works - tracks start/stop correctly. PX4: untested (SITL pending)."
offboard,set_velocity_ned,"ArduCopter 4.5.7 SITL: works - commanded 2 m/s north, telemetry confirmed 2.0 m/s. PX4: untested (SITL pending)."
offboard,set_velocity_body,"ArduCopter 4.5.7 SITL: accepted in flight, motion consistent; not quantitatively verified. PX4: untested (SITL pending)."
offboard,set_position_ned,"ArduCopter 4.5.7 SITL: works - altitude target reached and held (verified 15 m). PX4: untested (SITL pending)."
offboard,set_position_global,"ArduCopter 4.5.7 SITL: accepted; vehicle response not independently verified. PX4: untested (SITL pending)."
offboard,set_position_velocity_ned,"ArduCopter 4.5.7 SITL: accepted; feed-forward effect not independently verified. PX4: untested (SITL pending)."
offboard,set_position_velocity_acceleration_ned,"ArduCopter 4.5.7 SITL: accepted; feed-forward effect not independently verified. PX4: untested (SITL pending)."
offboard,set_acceleration_ned,"ArduCopter 4.5.7 SITL: accepted (ArduCopter GUIDED supports acceleration targets since 4.3); effect not quantitatively verified. PX4: untested (SITL pending)."
offboard,set_attitude,"ArduCopter 4.5.7 SITL: works - commanded pitch -5 deg, telemetry confirmed -5.0 deg. PX4: untested (SITL pending)."
offboard,set_attitude_rate,"ArduCopter 4.5.7 SITL: accepted; rate tracking not quantitatively verified. PX4: untested (SITL pending)."
offboard,set_actuator_control,"ArduCopter 4.5.7 SITL: RPC accepted but inert - ArduPilot has no SET_ACTUATOR_CONTROL_TARGET handler; treat as PX4-only. PX4: untested (SITL pending)."
